"Sample_ID","ID.short","Hapke_ID","Joerg_ID2","Joerg_ID","Originalbezeichnung","tubeID","Duke_box","cell","Transect","ULM","Duke","habitat","habitat2","locality","GridKoord","SiteID","Site_ne_2006","PointsID","lat","long","year","sex","body_mass","mtHap","species","species_mtDNA","hybrid","DNAconc","DNAamount","SentToPaulHohenlohe_181127","sequenced_181127","remarks_JP","GenBank_accession","Hapke_mtID","HV1_haplotype_label","lat.hapke","lon.hapke"
"MG58","mmur051","Mtk_Mm_Hamb161","MG 58","MG 58","58","0","2_F7",138,"T18","100",30,"Gallery forest","","Mangatsiaka","C14","MG","MGC14","MGC14","S24 57 48,80","E046 33 12,98",2008,"m","48","BY","mmur","mmur","NH",25.4,736.6,"1",1,"","JF510280","murinus","CY",-24.9635555555556,46.5536055555555
"MG64","mhyb015","Mtk_Mg_Hamb167","MG 64","MG 64","64","0","2_G4",11,"Grille","100",30,"Dry spiny forest","","Mangatsiaka","G118","MG","MGG118","MGG118","S24 57 46,74","E046 33 25,40",2008,"m","47","BW","hybrid","mgri","H",9.6,278.4,"1",1,"","JF510186","griseorufus","CW",-24.9629833333333,46.5570555555556
"MG65","mmur052","Mtk_Mm_Hamb168","MG 65","MG 65","65","0","2_G5",93,"Grille","100",30,"Dry spiny forest","","Mangatsiaka","G130","MG","MGG130","MGG130","S24 57 41,84","E046 33 22,81",2008,"m","47","BR","mmur","mmur","NH",29.2,846.8,"1",1,"","JF510285","murinus","CR",-24.9616222222222,46.5563361111111
"MG66","mmur053","Mtk_Mm_Hamb169","MG 66","MG 66","66","0","2_G6",94,"Grille","100",30,"Dry spiny forest","","Mangatsiaka","G114","MG","MGG114","MGG114","S24 57 44,09","E046 33 23,42",2008,"f","41","BR","mmur","mmur","NH",26.4,765.6,"1",1,"","JF510286","murinus","CR",-24.9622472222222,46.5565055555556
"MG67","mmur054","Mtk_Mm_Hamb170","MG 67","MG 67","67","0","2_G7",95,"Grille","100",30,"Dry spiny forest","","Mangatsiaka","G141","MG","MGG141","MGG141","S24 57 47,28","E046 33 28,88",2008,"f","58","BR","mmur","mmur","NH",26.4,765.6,"1",1,"","JF510287","murinus","CR",-24.9631333333333,46.5580222222222
"MG68","mmur055","Mtk_Mm_Hamb171","MG 68","MG 68","68","0","2_G8",96,"Grille","100",30,"Dry spiny forest","","Mangatsiaka","G181","MG","MGG181","MGG181","S24 57 46,07","E046 33 31,95",2008,"f","50","BR","mmur","mmur","NH",26.8,777.2,"1",1,"","JF510288","murinus","CR",-24.9627972222222,46.558875
"MG73","mmur056","Mtk_Mm_Hamb073","MG 73","MG 73","73","0","2_H4",101,"Grille","100",30,"Dry spiny forest","","Mangatsiaka","G069","MG","MGG069","MGG069","S24 57 44,80","E046 33 18,58",2008,"f","50","BR","mmur","mmur","NH",18.8,545.2,"1",1,"","JF510245","murinus","CR",-24.9624444444444,46.5551611111111
"MG75","mmur057","Mtk_Mm_Hamb075","MG 75","MG 75","75","0","2_H6",141,"Grille","100",30,"Gallery forest","","Mangatsiaka","G010","MG","MGG010","MGG010","S24 57 46,09","E046 33 13,55",2008,"m","41","BY","mmur","mmur","NH",18.9,548.1,"1",1,"","JF510247","murinus","CY",-24.9628027777778,46.5537638888889
"MG79","mmur058",NA,"MG 79","MG 79","MG 79","0","3_A1",175,"Grille","50",30,"Dry spiny forest","","Mangatsiaka","G041","MG","MGG041","MGG041","S24 57 50,80","E046 33 20,42",2009,"M","60","","mmur","mmur","un",45,1305,"1",1,"",NA,NA,NA,NA,NA
"MG83","mmur059",NA,"MG 83","MG 83","MG 83","0","3_A3",179,"Grille","50",30,"Dry spiny forest","Gallery forest","Mangatsiaka","G026","MG","MGG026","MGG026","S24 57 48,00","E046 33 16,91",2009,"F","48","","mmur","mmur","un",81.2,2354.8,"1",1,"",NA,NA,NA,NA,NA
"MG84","mmur060",NA,"MG 84","MG 84","MG 84","0","3_A4",180,"Grille","50",30,"Dry spiny forest","Gallery forest","Mangatsiaka","G023","MG","MGG023","MGG023","S24 57 50,32","E046 33 17,93",2009,"F","54","","mmur","mmur","un",65,1885,"1",1,"",NA,NA,NA,NA,NA
"MG85","mgri089",NA,"MG 85","MG 85","MG 85","0","3_A5",173,"Grille","20",30,"Dry spiny forest","","Mangatsiaka","G159","MG","MGG159","MGG159","S24 57 46,26","E046 33 29,28",2009,"F","51","","mgri","mgri","un",46,1334,"1",1,"Added 20 ul water",NA,NA,NA,NA,NA
"MG88","mmur061",NA,"MG 88","MG 88","MG 88","0","3_A7",183,"Grille","50",30,"Gallery forest","","Mangatsiaka","G009","MG","MGG009","MGG009","S24 57 46,71","E046 33 13,93",2009,"F","60","","mmur","mmur","un",34,986,"1",1,"",NA,NA,NA,NA,NA
"MG92","mmur062",NA,"MG 92","MG 92","MG 92","0","3_B2",187,"Grille","50",30,"Dry spiny forest","","Mangatsiaka","G117","MG","MGG117","MGG117","S24 57 45,91","E046 33 24,92",2009,"M","53","","mmur","mmur","un",50,1450,"1",1,"",NA,NA,NA,NA,NA
"Micro04","mmur063","Tml_Mm_MAndo04","Micro 04","Micro 04","TM 04-2006","0","3",143,"T21","100",30,"Gallery forest","","Tsimelahy","A05","TM","TMA05","TMA05-2006","S24 57 22,5","E046 37 4,08",2006,"f","64","BR","mmur","mmur","NH",9.9,287.1,"1",1,"","JF510301","murinus","CR",-24.95625,46.6178
"Micro06","mmur064","Tml_Mm_MAndo06","Micro 06","Micro 06","TM 06-2006","0","3",144,"T25","100",30,"Gallery forest","","Tsimelahy","E02","TM","TME02","TME02-2006","S24 57 16,24","E046 37 14,48",2006,"f","55","BR","mmur","mmur","NH",12.2,353.8,"1",1,"","JF510302","murinus","CR",-24.9545111111111,46.6206888888889
"Micro12","mmur065","Tml_Mm_MAndo12","Micro 12","Micro 12","TM 12-2006","0","3",145,"T21","100",30,"Gallery forest","","Tsimelahy","A16","TM","TMA16","TMA16-2006","S24 57 30,06","E046 36 58,93",2006,"m","70","BT","mmur","mmur","NH",8.6,249.4,"1",1,"","JF510303","murinus","CT",-24.95835,46.6163694444444
"Micro13","mgri090","Tml_Mg_MAndo13","Micro 13","Micro 13","TM 13-2006","0","3",41,"T23","100",30,"Dry spiny forest","","Tsimelahy","C01","TM","TMC01","TMC01-2006","S24 57 3,85","E046 37 4,51",2006,"m","54","BU","mgri","mgri","NH",16,464,"1",1,"","JF510195","griseorufus","CU",-24.9510694444444,46.6179194444444
"Micro14","mgri091","Tml_Mg_MAndo14","Micro 14","Micro 14","TM 14-2006","0","3",42,"T24","100",30,"Dry spiny forest","","Tsimelahy","D19","TM","TMD19","TMD19-2006","S24 57 21,85","E046 36 38,7",2006,"m","52","BV","mgri","mgri","NH",14.5,420.5,"1",1,"","JF510196","griseorufus","CV",-24.9560694444444,46.61075
"Micro19","mgri092","Tml_Mg_MAndo19","Micro 19","Micro 19","TM 19-2006","0","3",43,"T24","100",30,"Dry spiny forest","","Tsimelahy","D09","TM","TMD09","TMD09-2006","S24 57 20,12","E046 36 47,05",2006,"m","55","BW","mgri","mgri","NH",4.3,125.28,"1",1,"","JF510197","griseorufus","CW",-24.9555888888889,46.6130694444444
"Micro24","mmur066","Tml_Mm_MAndo24","Micro 24","Micro 24","TM 24-2006","0","3",107,"T25","100",30,"Dry spiny forest","","Tsimelahy","E14","TM","TME14","TME14-2006","S24 57 14,98","E046 37 9,08",2006,"m","55","BR","mmur","mmur","NH",5.6,162.98,"1",1,"","JF510305","murinus","CR",-24.9541611111111,46.6191888888889
"Micro25","mmur067","Tml_Mm_MAndo25","Micro 25","Micro 25","TM 25-2006","0","3",108,"T22","100",30,"Dry spiny forest","","Tsimelahy","B35","TM","TMB35","TMB35-2006","S24 56 53,27","E046 37 17,98",2006,"m","69","BR","mmur","mmur","NH",12.3,356.7,"1",1,"","JF510306","murinus","CR",-24.9481305555556,46.6216611111111
"Micro27","mmur068","Tml_Mm_MAndo27","Micro 27","Micro 27","TM 27-2006","0","3",109,"T22","100",30,"Dry spiny forest","","Tsimelahy","B32","TM","TMB32","TMB32-2006","S24 56 52,66","E046 37 16,39",2006,"f","61","BR","mmur","mmur","NH",19.1,553.9,"1",1,"","JF510307","murinus","CR",-24.9479611111111,46.6212194444444
"Micro31","mgri093","Tml_Mg_MAndo31","Micro 31","Micro 31","TM 31-2006","0","3",44,"T24","100",30,"Dry spiny forest","","Tsimelahy","D09","TM","TMD09","TMD09-2006","S24 57 20,12","E046 36 47,05",2006,"f","52","BW","mgri","mgri","NH",12,348,"1",1,"","JF510198","griseorufus","CW",-24.9555888888889,46.6130694444444
"Micro33","mhyb016","Tml_Mg_MAndo33","Micro 33","Micro 33","TM 33-2006","Micro 33","3",13,"T24","100",30,"Dry spiny forest","","Tsimelahy","D05","TM","TMD05","TMD05-2006","S24 57 19,3","E046 36 50,36",2006,"m","50","BU","hybrid","mgri","H",19.6,568.4,"1",1,"","JF510199","griseorufus","CU",-24.9553611111111,46.6139888888889
"Micro38","mmur069","Tml_Mm_MAndo38","Micro 38","Micro 38","TM 38-2006","0","3",148,"T21","100",30,"Gallery forest","","Tsimelahy","A16","TM","TMA16","TMA16-2006","S24 57 30,06","E046 36 58,93",2006,"f","55","BT","mmur","mmur","NH",8.6,249.4,"1",1,"","JF510309","murinus","CT",-24.95835,46.6163694444444
"Micro44","mgri094","Tml_Mg_MAndo44","Micro 44","Micro 44","TM 44-2006","0","3",47,"T23","100",30,"Dry spiny forest","","Tsimelahy","C10","TM","TMC10","TMC10-2006","S24 57 7,85","E046 37 0,95",2006,"f","48","BW","mgri","mgri","NH",8.1,233.74,"1",1,"","JF510201","griseorufus","CW",-24.9521805555556,46.6169305555556
"Micro49","mmur070","Tml_Mm_MAndo49","Micro 49","Micro 49","TM 49-2006","0","3",112,"T25","100",30,"Dry spiny forest","","Tsimelahy","E13","TM","TME13","TME13-2006","S24 57 15,3","E046 37 9,48",2006,"m","61","BT","mmur","mmur","NH",6.4,185.02,"1",1,"","JF510311","murinus","CT",-24.95425,46.6193
"Micro58","mgri095","Tml_Mg_MAndo58","Micro 58","Micro 58","TM 58-2006","0","3",53,"T24","100",30,"Dry spiny forest","","Tsimelahy","D20","TM","TMD20","TMD20-2006","S24 57 22,14","E046 36 37,73",2006,"f","57","BV","mgri","mgri","NH",5.1,147.9,"1",1,"","JF510202","griseorufus","CV",-24.95615,46.6104805555556
"Micro60","mgri096","Tml_Mg_MAndo60","Micro 60","Micro 60","TM 60-2006","0","3",54,"T23","100",30,"Dry spiny forest","","Tsimelahy","C02","TM","TMC02","TMC02-2006","S24 57 3,96","E046 37 3,86",2006,"f","60","BW","mgri","mgri","NH",11.1,321.9,"1",1,"","JF510203","griseorufus","CW",-24.9511,46.6177388888889
"Micro70","mgri097","Tml_Mg_MAndo70","Micro 70","Micro 70","TM 70-2006","0","3",55,"T24","100",30,"Dry spiny forest","","Tsimelahy","D17","TM","TMD17","TMD17-2006","S24 57 21,35","E046 36 40,21",2006,"m","52","BU","mgri","mgri","NH",7.7,223.3,"1",1,"","JF510205","griseorufus","CU",-24.9559305555556,46.6111694444444
"Micro81","mgri098","Mtk_Mg_MAndo81","Micro 81","Micro 81","MG 81-2006","Micro 81","3",40,"T14","100",30,"Dry spiny forest","","Mangatsiaka","M10","MG","MGM10","MGM10-2006","S24 58'7,81","E046 33 26,33",2006,"f","55","BW","mgri","mgri","NH",23,667,"1",1,"","JF510187","griseorufus","CW",-24.9688361111111,46.5573138888889
"Micro88","mmur071","Mtk_Mm_MAndo88","Micro 88","Micro 88","MG 88-2006","0","3",200,"T15","100",30,"Dry spiny forest","","Mangatsiaka","N01","MG","MGN01","MGN01-2006","S24 58 0,06","E046 33 16,5",2006,"f","70","BY","mmur","mmur","NH",44,1276,"1",1,"","JF510293","murinus","CY",-24.9666833333333,46.5545833333333
"TM41","mgri099","Tml_Mg_Hamb078","TM 41","TM 41","41","0","4",45,"T24","100",30,"Dry spiny forest","","Tsimelahy","D18","TM","TMD18","TMD18","S24 57 21,78","E046 36 38,91",2008,"f","42","","mgri","mgri","NH",9.9,287.1,"1",1,"","JF510189","griseorufus","CW",-24.95605,46.6108083333333
"TM42","mmur072","Tml_Mm_Hamb079","TM 42","TM 42","42","0","4",110,"T22","100",30,"Dry spiny forest","","Tsimelahy","B01","TM","TMB01","TMB01","S24 56 52,94","E046 37 15,87",2008,"m","45","","mmur","mmur","NH",12.1,350.9,"1",1,"","JF510294","murinus","CR",-24.9480388888889,46.621075
"TM43","mmur073","Tml_Mm_Hamb080","TM 43","TM 43","43","0","4",149,"T21","100",30,"Gallery forest","","Tsimelahy","A13","TM","TMA13","TMA13","S24 57 27,09","E046 37 01,58",2008,"m","56","","mmur","mmur","NH",20.8,603.2,"1",1,"","JF510295","murinus","CR",-24.957525,46.6171055555556
"TM44","mmur074","Tml_Mm_Hamb081","TM 44","TM 44","44","0","4",150,"T25","100",30,"Gallery forest","","Tsimelahy","REFA","TM","TMREFA","TMREFA","S24 57 17,65","E046 37 10,06",2008,"m","57","","mmur","mmur","NH",9.8,283.04,"1",1,"","JF510296","murinus","CT",-24.9549027777778,46.6194611111111
"TM46","mgri100","Tml_Mg_Hamb082","TM 46","TM 46","46","0","4",48,"T24","100",30,"Dry spiny forest","","Tsimelahy","D10","TM","TMD10","TMD10","S24 57 19,98","E046 36 45,90",2008,"f","52","","mgri","mgri","NH",19.4,562.6,"1",1,"","JF510190","griseorufus","CW",-24.95555,46.61275
"TM47","mmur075","Tml_Mm_Hamb083","TM 47","TM 47","47","0","4",111,"T22","100",30,"Dry spiny forest","","Tsimelahy","B00","TM","TMB00","TMB00","S24 56 52,67","E046 37 16,57",2008,"m","61","","mmur","mmur","NH",11.4,330.6,"1",1,"","JF510297","murinus","CT",-24.9479638888889,46.6212694444444
"TM48","mmur076","Tml_Mm_Hamb084","TM 48","TM 48","48","0","4",171,"T22","100",30,"Dry spiny forest","","Tsimelahy","B04","TM","TMB04","TMB04","S24 56 54,87","E046 37 14,00",2008,"f","75","","mmur","mmur","NH",31,899,"1",1,"","JF510298","murinus","CR",-24.948575,46.6205555555556
"TM49","mgri101","Tml_Mg_Hamb085","TM 49","TM 49","49","0","4",49,"T24","100",30,"Dry spiny forest","","Tsimelahy","D11","TM","TMD11","TMD11","S24 57 20,08","E046 36 45,08",2008,"m","49","","mgri","mgri","NH",14.7,426.3,"1",1,"","JF510191","griseorufus","CU",-24.9555777777778,46.6125222222222
"TM50","mgri102","Tml_Mg_Hamb086","TM 50","TM 50","50","0","4",50,"T26","100",30,"Dry spiny forest","","Tsimelahy","E01","TM","TME01","TME01","S24 57 20,96","E046 36 49,11",2008,"m","56","","mgri","mgri","NH",4.6,132.24,"1",1,"","JF510192","griseorufus","CV",-24.9558222222222,46.6136416666667
"TM51","mgri103","Tml_Mg_Hamb087","TM 51","TM 51","51","0","4",51,"T26","100",30,"Dry spiny forest","","Tsimelahy","E13","TM","TME13","TME13","S24 57 22,36","E046 36 59,37",2008,"f","49","","mgri","mgri","NH",16.9,490.1,"1",1,"","JF510193","griseorufus","CU",-24.9562111111111,46.6164916666667
"TM52","mgri104","Tml_Mg_Hamb088","TM 52","TM 52","52","0","4",52,"T26","100",30,"Dry spiny forest","","Tsimelahy","E09","TM","TME09","TME09","S24 57 22,77","E046 36 55,79",2008,"f","72","","mgri","mgri","NH",22.2,643.8,"1",1,"","JF510194","griseorufus","CW",-24.956325,46.6154972222222
"TM53","mmur077","Tml_Mm_Hamb089","TM 53","TM 53","53","0","4",152,"T26","100",30,"Gallery forest","","Tsimelahy","E19","TM","TME19","TME19","S24 57 22,94","E046 37 02,23",2008,"m","54","","mmur","mmur","NH",28.2,817.8,"1",1,"","JF510299","murinus","CR",-24.9563722222222,46.6172861111111
